Rank,Name,Country,Scientific_Score,Practical_Score,Total_Score,Award
201,Aleksandre Tediashvili,Georgia,32.08,48.06,112.59,
202,Nikoloz Kipshidze,Georgia,89.05,0,112.29,
203,Stefano Larsen,Netherlands,56.09,0,112.2,
204,Omar Almahri,United Arab Emirates,65.74,0,112.16,
205,Miguel Alejandro Somoza Portillo,El Salvador,79.72,19.15,112.13,
206,Adriana Georgieva,Bulgaria,91.32,0,112.06,
207,Ng Man Hei,Hong Kong China,23.91,0,110.4,Honourable Mention
208,Mirha Javaid,Pakistan,44.79,0,109.93,Honourable Mention
209,Rashed Ahmed Aldhanhani,United Arab Emirates,81.2,0,109.74,
210,Alan Yin,Canada,86.18,0,108.86,
211,AHOUANSOU Dona Christ Hansmaut,Benin,66.66,0,108.85,
212,Nurtas Yermyek,Mongolia,65.21,21.43,108.77,
213,Rukundo Promesse,Rwanda,82.65,0,108.62,
214,ALI,Mongolia,58.61,20.82,107.98,
215,Seryozha Nazaryan,Armenia,66.88,0,107.18,
216,Haohui Liu,Macao China,76.72,0,106.06,
217,Wang Suilun,Macao China,65.02,0,105.41,
218,Chenru Hu,Australia,58.86,0,105.16,
219,Abrar Shahid,Bangladesh,93.5,0,104.59,
220,Savyasachi Singh,India,72.9,0,103.41,
221,Diego Herrera Rivera,México,60.57,0,102.21,
222,Iskhak Tazhibaev,Kyrgyzstan,58.83,0,100.39,
223,Mizero Lucky Gall,Rwanda,79.09,0,100.27,
224,Damyan Dochev,Bulgaria,61.1,20.82,99.93,
225,Daniel Pocohuanca,Peru,68.17,0,98.99,
226,Mariam Nasir,Pakistan,29.62,33.01,98.19,
227,Alier Sánchez Y Sánchez,México,22.08,0,97.72,Honourable Mention
228,Aras Demir Şahin,Turkiye,16.15,15.54,94.59,
229,Bater Habtoosh,Jordan,63.88,0,93.99,
230,Qianhao Han,Canada,46.06,0,93.59,
231,Annie Karheiding,Sweden,48.58,37.63,93.23,
232,Boyan Vangelov,Bulgaria,9.5,0,92.93,Honourable Mention
233,Pablo Andrés González Romero,Colombia,57.26,0,90.52,
234,M'PO YETI Déreck,Benin,56.37,0,89.46,
235,Fadi Amiche,Tunisia,56.59,19.89,89.16,
236,Juan José Gómez Ramírez,Colombia,57.76,0,88.43,
237,Fabricio Jeffrey Yoel Aguilar Machaca,Peru,0,0,88.32,Honourable Mention
238,Oscar Yan,Australia,57.82,7.79,87.12,
239,Maxim Pavlenko,Sweden,56.5,0,86.75,
240,Eszter Demjén,Hungary,36.62,8.19,84.93,
241,Saba Machavariani,Georgia,58.36,0,84.31,
242,Dulguun Gantulga,Mongolia,62.4,0,83.55,
243,Davit Jaghatspanyan,Armenia,67.63,0,82.76,
244,Emir Kaan Özdemir,Turkiye,57.85,0,80.09,
245,Amanda Vaarmann,Estonia,65.58,0,79.64,
246,Prince Kumar Mandal,Nepal,73.06,0,79.45,
247,Ulambayar Iveelsaikhan,Mongolia,52.62,0,79.12,
248,Makini Thompson,Jamaica,3.25,55.33,78.42,
249,Matthijs Schrijvers,Netherlands,40.19,3.96,78.08,
250,Juan Velasquez,Peru,53.47,3.92,77.23,
251,Mamoun Ben Ameur,Tunisia,32.08,21.43,77.12,
252,Blendi Avdolli,Albania,54.67,0,76.16,
253,Sara Aljneibi,United Arab Emirates,45.49,0,75.77,
254,Mota S. M.,Brazil,3.25,0,75.04,
255,Dharit Kittisakdi,Thailand,52.4,0,73.64,
256,Karla Margarita Ayala Tobar,El Salvador,3.25,0,73.2,Honourable Mention
257,Koba Ami-Odayé Essowèmdéou David,Benin,35.46,0,68.97,
258,Arsh Jha,Nepal,36.4,8.98,67.59,
259,Muhammad Aayan Abdullah Malik,Pakistan,46.21,0,67.49,
260,Creation Duwal,Nepal,64.16,0,67.23,
261,Abdulla Khalil,United Arab Emirates,18.86,21.65,66.34,
262,Mohammed Musab,United Arab Emirates,9.37,23.55,62.58,
263,Fatima Lari,United Arab Emirates,15.3,0,61.91,
264,Amin Ben Ameur,Tunisia,20.88,2.07,60.77,
265,Rosalie Schrijvers,Netherlands,30.44,2.9,58.61,
266,William Zhu,Canada,30.44,0,56.92,
267,Muyao Zhang,Australia,44.26,0,55.11,
268,Elbek Zohidjanov,Uzbekistan,19.15,0,47.75,
269,Giorgi Kavelashvili,Georgia,3.25,0,46.22,
270,Khalifa Almulla,United Arab Emirates,3.25,0,39.71,
271,Derek Sha,United States,7.79,0,35.86,
272,Ayşe Naz Kara,Turkiye,3.25,0,32.18,
273,Axel Hernandez Malave,Venezuela,18.93,0,31.88,
274,Aayush Yadav,Nepal,10.66,0,31.53,
275,Hagenimana Keza Ange Darlene,Rwanda,3.25,0,24.93,
276,Louis Bowen Shi,Australia,3.25,0,23.81,
277,Jamía Williamson,Jamaica,3.25,0,20.05,
278,Amir Kovaçi,Albania,3.25,0,18.31,
279,Ersa Rrushi,Albania,3.25,0,16.24,
280,Zamira Rustamova,Uzbekistan,3.25,0,14.34,
281,Vincent Yingxi Chen,Australia,3.25,0,13.84,
282,Akshara Maddineni,United Kingdom,0,0,11.09,
283,Troi Qendro,Albania,3.25,0,10.25,
284,Tina Yao Tian,Australia,3.25,0,6.32

