152	Ishaan Gangwani	India	81.26	2.02	16.83	0	64.55	0	164.66	
Honourable Mention
153	Minjun Kang	South Korea	95.39	0	5.67	0	63.43	0	164.49	
Honourable Mention
154	Choi Sai Chi	Macao, China	90.5	0	13.17	0	60.45	0.08	164.2	 
155	Imboon Pipatpaisit	Thailand	98.11	27.64	14.84	0	17.16	5.82	163.57	
Honourable Mention
156	Artur Bentsa	Estonia	80.16	29.23	0	0	50.75	0	160.14	
Honourable Mention
157	Mugisha Pacifique	Rwanda	82.18	30.81	24.39	0	14.18	8.1	159.66	
Honourable Mention
158	Ethem Yağız Çalık	Turkiye	81.07	20.99	8.9	0	36.94	9.24	157.14	
Honourable Mention
159	Thanakrit Ponimthai	Thailand	80.95	0	3.66	0	63.81	8.1	156.52	
Honourable Mention
160	Zhu Zhekai	China	78.3	0	9.54	0	65.67	0.08	153.59	
Honourable Mention
161	Brodie Millar	Isle Of Man	88.64	51.54	0	0	7.46	0.08	147.72	
Honourable Mention
162	Ayhem Bouker	Tunisia	65.71	22.45	13.52	0	2.99	43.03	147.7	 
163	Carlos Huancollo	Peru	52.33	24.6	1.95	0	60.45	8.1	147.43	
Honourable Mention
164	Antoni Kamiński	Poland	73.28	17.65	3.97	0	44.38	8.1	147.38	 
165	Semen Boguslavskii	Kyrgyzstan	67.26	19.5	0.06	0	49.63	8.1	144.55	 
166	Pluzyan Vahe	Armenia	66.78	0	20.54	42	6.34	8.1	143.76	 
167	Nart Abaza	Jordan	96.25	0	0	0	45.15	0	141.4	 
168	Nikoloz Gegenava	Georgia	71.55	7.88	9.05	0	44.78	8.1	141.36	 
169	Ayan Bin Rafaih	Pakistan	81.48	21.21	14.84	0	23.51	0.08	141.12	
Honourable Mention
170	Veljko Galović	Serbia	42.84	0	9.34	0	80.22	8.1	140.5	
Honourable Mention
171	Misbah Uddin Inan	Bangladesh	88.74	26.1	2.24	0	12.69	8.1	137.87	
Honourable Mention
172	Martin Aldana Mejia	Colombia	71.51	19.15	26.03	0	13.06	8.1	137.85	
Honourable Mention
173	U.Erkhes	Mongolia	89.87	6.65	18.7	0	8.21	13.25	136.68	
Honourable Mention
174	Jose Angel Cortez Cruz	El Salvador	81.07	18.18	3.52	0	24.25	8.1	135.12	 
175	Cruz Caine	Jamaica	49.12	0	11.22	0	65.67	8.1	134.11	
Honourable Mention
176	Gordon Jiang	Hong Kong, China	68.08	0	5.84	0	58.96	0.08	132.96	 
177	Bozhidara Puhaleva	Bulgaria	50.73	30.37	2.21	0	40.3	8.1	131.71	 
178	Illés Fleischman	Hungary	98.26	13.51	9.3	0	2.24	8.1	131.41	
Honourable Mention
179	Miguel Cyrineu Vale	Brazil	83.79	9.46	7.39	0	12.69	17.56	130.89	 
180	AGBOSSAGA Merveille	Benin	50.6	41.95	21.95	0	7.46	8.1	130.06	
Honourable Mention
181	Tymofii Slitenko	Estonia	75.08	0	0	0	46.64	8.1	129.82	 
182	Tsengeg Nyamsukh	Mongolia	91.83	0	11.22	0	18.28	8.1	129.43	 
183	Antoni Ingorokva	Georgia	81.36	20.73	9.44	0	6.72	8.1	126.35	
Honourable Mention
184	Sebastian Enrique Somoza Portillo	El Salvador	56.09	0	15.2	0	14.93	38.74	124.96	 
185	Sophia Hou	United States	81.51	21.3	5.57	0	7.46	8.1	123.94	
Honourable Mention
186	Parvina Firuzovna	Uzbekistan	60.57	20.82	0	0	33.96	8.1	123.45	 
187	Raphaël Mirochnitchenko	France	85.11	0	21.95	0	7.46	8.1	122.62	 
188	Brandon Chow	Canada	69.12	35.56	9.83	0	7.46	0.08	122.05	
Honourable Mention
189	Yubo Zhao	Canada	70.66	0	7.72	27.52	7.84	8.1	121.84	 
190	Gigi Molashkhia	Georgia	78.11	0	0	0	33.96	8.1	120.17	 
191	Kittapat Kitisupawatana	Thailand	77.76	20.6	5.84	0	7.84	8.1	120.14	 
192	César Murat Cepeda Beltrán	MéXico	87.92	0	17	0	6.34	8.1	119.36	 
193	Aybak Samiz	Jordan	76.5	7.75	11.18	0	18.66	5.24	119.33	 
194	Juan David Onofre Florian	Colombia	53.6	0	9.3	13.04	43.26	0.08	119.28	 
195	Aleksandar Slavov	Bulgaria	40.91	0	9.36	42	26.49	0.08	118.84	
Honourable Mention
196	Akniet Kenzhegulov	Kyrgyzstan	81.58	2.86	3.93	0	20.13	8.1	116.6	 
197	Tan Min Sen	Singapore	99.27	0	0	0	7.46	8.1	114.83	 
198	Thomas Greissler	France	86.21	0	13.02	0	7.46	8.1	114.79	 
199	Kaixin Li	Australia	82.43	0	15.49	0	7.84	8.1	113.86	 
200	Georgios Tzovairis	Greece	72.4	0	17.06	0	16.04	8.1	113.6	 
201	Aleksandre Tediashvili	Georgia	32.08	48.06	5.73	0	3.73	22.99	112.59	 
202	Nikoloz Kipshidze	Georgia	89.05	0	11.04	0	4.1	8.1	112.29	 
203	Stefano Larsen	Netherlands	56.09	0	2.36	0	43.64	10.11	112.2	 
204	Omar Almahri	United Arab Emirates	65.74	0	7.35	0	30.97	8.1	112.16	 
205	Miguel Alejandro Somoza Portillo	El Salvador	79.72	19.15	2.17	0	2.99	8.1	112.13	 
